    ,ProvinceName ,Prod    ,Prop ,HarvArea ,ProdPerHarvArea ,Year ,ProvinceID ,region          ,AvgRain
 38 ,กรุงเทพมหานคร ,47548.0 ,1%   , 73188.0 ,         649.67 ,2021 ,        10 ,กลาง            ,123.9856755295
 39 ,กรุงเทพมหานคร ,47548.0 ,1%   , 73188.0 ,         649.67 ,2022 ,        10 ,กลาง            , 80.14790232083334
 40 ,หนองคาย      ,46557.0 ,1%   , 88909.0 ,         523.65 ,2021 ,        43 ,ตะวันออกเฉียงเหนือ ,142.65052179041666
 41 ,หนองคาย      ,46557.0 ,1%   , 88909.0 ,         523.65 ,2022 ,        43 ,ตะวันออกเฉียงเหนือ ,103.77957992083334
 42 ,หนองคาย      ,53943.0 ,1%   ,102064.0 ,         528.52 ,2021 ,        43 ,ตะวันออกเฉียงเหนือ ,142.65052179041666
 43 ,หนองคาย      ,53943.0 ,1%   ,102064.0 ,         528.52 ,2022 ,        43 ,ตะวันออกเฉียงเหนือ ,103.77957992083334
 44 ,ยโสธร        ,37832.0 ,1%   , 67199.0 ,         562.98 ,2021 ,        35 ,ตะวันออกเฉียงเหนือ ,130.34352963716665
 45 ,ยโสธร        ,37832.0 ,1%   , 67199.0 ,         562.98 ,2022 ,        35 ,ตะวันออกเฉียงเหนือ , 76.41701052633333
 46 ,ยโสธร        ,40022.0 ,1%   , 71105.0 ,         562.86 ,2021 ,        35 ,ตะวันออกเฉียงเหนือ ,130.34352963716665
 47 ,ยโสธร        ,40022.0 ,1%   , 71105.0 ,         562.86 ,2022 ,        35 ,ตะวันออกเฉียงเหนือ , 76.41701052633333
 48 ,นครพนม       ,36385.0 ,1%   , 70376.0 ,         517.01 ,2021 ,        48 ,ตะวันออกเฉียงเหนือ ,152.80342611833333
 49 ,นครพนม       ,36385.0 ,1%   , 70376.0 ,         517.01 ,2022 ,        48 ,ตะวันออกเฉียงเหนือ , 82.67141871758334
 50 ,นครพนม       ,45456.0 ,1%   , 86900.0 ,         523.08 ,2021 ,        48 ,ตะวันออกเฉียงเหนือ ,152.80342611833333
 51 ,นครพนม       ,45456.0 ,1%   , 86900.0 ,         523.08 ,2022 ,        48 ,ตะวันออกเฉียงเหนือ , 82.67141871758334
 52 ,ศรีสะเกษ      ,35426.0 ,1%   , 68618.0 ,         516.28 ,2021 ,        33 ,ตะวันออกเฉียงเหนือ ,121.19639157541667
 53 ,ศรีสะเกษ      ,35426.0 ,1%   , 68618.0 ,         516.28 ,2022 ,        33 ,ตะวันออกเฉียงเหนือ , 76.7977312685
